community,cluster,doc,annotateddoc,frame,synset,synsetframe triplet,noun/verb w/o frame,adj/adv w/o frame
inferred_ROAR8,26,bio:birth Person bio:Birth,[bio:birth [P]] [Person [C]] [bio:Birth [C]] ,"frame:Birth,frame:People,frame:Birth,","wn30:synset-birth-noun-1,wn30:synset-person-noun-1,wn30:synset-birth-noun-1,","wn30:synset-birth-noun-1 - frame:Birth - frame:Event
wn30:synset-person-noun-1 - frame:People - frame:Entity
wn30:synset-birth-noun-1 - frame:Birth - frame:Event
",,
inferred_ROAR9,26,Person bio:Death bio:death,[Person [C]] [bio:Death [C]] [bio:death [P]] ,"frame:People,frame:Death,frame:Death,","wn30:synset-person-noun-1,wn30:synset-death-noun-1,wn30:synset-death-noun-1,","wn30:synset-person-noun-1 - frame:People - frame:Entity
wn30:synset-death-noun-1 - frame:Death - frame:Event
wn30:synset-death-noun-1 - frame:Death - frame:Event
",,
inferred_HICO2,93,Interpretation Criterion Type has interpretation type Act is extracted from Expression criterion,[Interpretation Criterion [C]] [Interpretation Type [C]] [has interpretation type [P]] [Interpretation Act [C]] [is extracted from [P]] [Expression [C]] [has interpretation criterion [P]] ,"frame:Linguistic_meaning,frame:Type,frame:Linguistic_meaning,frame:Type,frame:Intentionally_act,frame:Removing,frame:Expressing_publicly,frame:Facial_expression,","wn30:synset-interpretation-noun-1,wn30:synset-standard-noun-1,wn30:synset-type-noun-1,wn30:synset-interpretation-noun-1,wn30:synset-type-noun-1,wn30:synset-act-verb-1,wn30:synset-extract-verb-1,wn30:synset-expression-noun-1,wn30:synset-standard-noun-1,","wn30:synset-interpretation-noun-1 - frame:Linguistic_meaning
wn30:synset-type-noun-1 - frame:Type
wn30:synset-interpretation-noun-1 - frame:Linguistic_meaning
wn30:synset-type-noun-1 - frame:Type
wn30:synset-act-verb-1 - frame:Intentionally_act - frame:Event
wn30:synset-extract-verb-1 - frame:Removing - frame:Event
wn30:synset-expression-noun-1 - frame:Expressing_publicly
wn30:synset-expression-noun-1 - frame:Facial_expression
","wn30:synset-standard-noun-1
wn30:synset-standard-noun-1
",
inferred_HICO1,0,cites as evidence disagrees with was influenced by refutes generated agrees,[cites as evidence [P]] [disagrees with [P]] [was influenced by [P]] [refutes [P]] [was generated by [P]] [cites [P]] [agrees with [P]] ,"frame:Mention,frame:Adducing,frame:Relative_time,frame:Evidence,frame:Objective_influence,frame:Statement,frame:Be_in_agreement_on_assessment,frame:Make_agreement_on_action,","wn30:synset-mention-verb-1,wn30:synset-equally-adverb-1,wn30:synset-evidence-noun-1,wn30:synset-disagree-verb-1,wn30:synset-influence-noun-1,wn30:synset-by-adverb-1,wn30:synset-refute-verb-1,wn30:synset-generate-verb-1,wn30:synset-agree-verb-1,","wn30:synset-mention-verb-1 - frame:Mention
wn30:synset-mention-verb-1 - frame:Adducing
wn30:synset-equally-adverb-1 - frame:Relative_time - frame:Relation
wn30:synset-evidence-noun-1 - frame:Evidence
wn30:synset-influence-noun-1 - frame:Objective_influence - frame:Event
wn30:synset-refute-verb-1 - frame:Statement
wn30:synset-agree-verb-1 - frame:Be_in_agreement_on_assessment - frame:Attributesframe:Reciprocality
wn30:synset-agree-verb-1 - frame:Make_agreement_on_action
","wn30:synset-disagree-verb-1
wn30:synset-generate-verb-1
","wn30:synset-by-adverb-1
"
inferred_CRM-ARCHAEO9,6,discarded into was surface produced by Excavation Process Unit destroyed S22 Segment of Matter S11 Amount S20 Physical Feature,[discarded into [P]] [was surface produced by [P]] [was discarded by [P]] [was produced by [P]] [Excavation Process Unit [C]] [was destroyed by [P]] [S22 Segment of Matter [C]] [destroyed [P]] [produced surface [P]] [S11 Amount of Matter [C]] [produced [P]] [S20 Physical Feature [C]] ,"frame:Removing,frame:Part_inner_outer,frame:Creating,frame:Means,frame:Destroying,frame:Part_whole,frame:Personal_relationship,frame:Amounting_to,","wn30:synset-discard-verb-1,wn30:synset-surface-noun-1,wn30:synset-produce-verb-1,wn30:synset-by-adverb-1,wn30:synset-excavation-noun-1,wn30:synset-procedure-noun-1,wn30:synset-unit_of_measurement-noun-1,wn30:synset-destroy-verb-1,wn30:synset-section-noun-4,wn30:synset-matter-noun-1,wn30:synset-sum-noun-1,wn30:synset-physical-adjective-1,wn30:synset-feature-noun-1,","wn30:synset-discard-verb-1 - frame:Removing - frame:Event
wn30:synset-surface-noun-1 - frame:Part_inner_outer - frame:Being_included
wn30:synset-produce-verb-1 - frame:Creating - frame:Event
wn30:synset-procedure-noun-1 - frame:Means
wn30:synset-destroy-verb-1 - frame:Destroying - frame:Event
wn30:synset-section-noun-4 - frame:Part_whole - frame:Being_included
wn30:synset-matter-noun-1 - frame:Personal_relationship
wn30:synset-sum-noun-1 - frame:Amounting_to
","wn30:synset-excavation-noun-1
wn30:synset-unit_of_measurement-noun-1
wn30:synset-feature-noun-1
","wn30:synset-by-adverb-1
wn30:synset-physical-adjective-1
"
inferred_CRM-ARCHAEO8,12,Stratigraphic Unit Modification is stratigraphic relation of,[Stratigraphic Unit [C]] [Stratigraphic Modification [C]] [is stratigraphic relation of [P]] ,"frame:Relation,","wn30:synset-unit_of_measurement-noun-1,wn30:synset-alteration-noun-2,wn30:synset-relation-noun-1,","wn30:synset-relation-noun-1 - frame:Relation - frame:Locale
","wn30:synset-unit_of_measurement-noun-1
wn30:synset-alteration-noun-2
",
inferred_CRM-ARCHAEO3,98,Stratigraphic Volume Unit is confined by Interface embedding in confines Embedding contains,[Stratigraphic Volume Unit [C]] [is confined by [P]] [Stratigraphic Interface [C]] [is embedding in [P]] [confines [P]] [Embedding [C]] [contains embedding [P]] ,"frame:Grant_permission,frame:Placing,frame:Containing,frame:Inclusion,","wn30:synset-volume-noun-1,wn30:synset-unit_of_measurement-noun-1,wn30:synset-restrict-verb-3,wn30:synset-by-adverb-1,wn30:synset-interface-noun-1,wn30:synset-in-adverb-1,wn30:synset-confines-noun-1,wn30:synset-implant-verb-1,wn30:synset-incorporate-verb-2,","wn30:synset-restrict-verb-3 - frame:Grant_permission
wn30:synset-implant-verb-1 - frame:Placing - frame:Event
wn30:synset-incorporate-verb-2 - frame:Containing - frame:Stateframe:Relation
wn30:synset-incorporate-verb-2 - frame:Inclusion
","wn30:synset-volume-noun-1
wn30:synset-unit_of_measurement-noun-1
wn30:synset-interface-noun-1
wn30:synset-confines-noun-1
","wn30:synset-by-adverb-1
wn30:synset-in-adverb-1
"
inferred_CRM-ARCHAEO6,46,was attributed by assigned attribute to Stratigraphic Unit Group Declaration Event,[was attributed by [P]] [assigned attribute to [P]] [Stratigraphic Unit [C]] [Group Declaration Event [C]] ,"frame:Aggregate,frame:Organization,frame:Statement,frame:Event,","wn30:synset-impute-verb-1,wn30:synset-by-adverb-1,wn30:synset-impute-verb-1,wn30:synset-impute-verb-1,wn30:synset-unit_of_measurement-noun-1,wn30:synset-group-noun-1,wn30:synset-declaration-noun-1,wn30:synset-event-noun-1,","wn30:synset-group-noun-1 - frame:Aggregate
wn30:synset-group-noun-1 - frame:Organization - frame:Aggregate
wn30:synset-declaration-noun-1 - frame:Statement
wn30:synset-event-noun-1 - frame:Event - frame:State
","wn30:synset-impute-verb-1
wn30:synset-impute-verb-1
wn30:synset-impute-verb-1
wn30:synset-unit_of_measurement-noun-1
","wn30:synset-by-adverb-1
"
inferred_CRM-ARCHAEO2,21,S10 Material Substantial took matter from Stratigraphic Genesis provided to,[S10 Material Substantial [C]] [took matter from [P]] [Stratigraphic Genesis [C]] [provided matter to [P]] ,"frame:Ingredients,frame:Substance,frame:Taking_time,frame:Have_as_requirement,frame:Personal_relationship,frame:Assistance,","wn30:synset-material-noun-1,wn30:synset-significant-adjectivesatellite-2,wn30:synset-take-verb-2,wn30:synset-matter-noun-1,wn30:synset-genesis-noun-1,wn30:synset-provide-verb-2,","wn30:synset-material-noun-1 - frame:Ingredients
wn30:synset-material-noun-1 - frame:Substance - frame:Entity
wn30:synset-take-verb-2 - frame:Taking_time - frame:Attributes
wn30:synset-take-verb-2 - frame:Have_as_requirement - frame:Contingency
wn30:synset-matter-noun-1 - frame:Personal_relationship
wn30:synset-provide-verb-2 - frame:Assistance - frame:Event
","wn30:synset-genesis-noun-1
","wn30:synset-significant-adjectivesatellite-2
"
inferred_CRM-ARCHAEO7,98,is or contains remains of Stratigraphic Unit E18 Physical Thing has contained in,[is or contains remains of [P]] [Stratigraphic Unit [C]] [E18 Physical Thing [C]] [is or has remains contained in [P]] ,"frame:Containing,frame:Inclusion,frame:Remainder,frame:Containing,frame:Inclusion,","wn30:synset-Oregon-noun-1,wn30:synset-incorporate-verb-2,wn30:synset-remains-noun-1,wn30:synset-unit_of_measurement-noun-1,wn30:synset-physical-adjective-1,wn30:synset-thing-noun-1,wn30:synset-incorporate-verb-2,wn30:synset-in-adverb-1,","wn30:synset-incorporate-verb-2 - frame:Containing - frame:Stateframe:Relation
wn30:synset-incorporate-verb-2 - frame:Inclusion
wn30:synset-remains-noun-1 - frame:Remainder
wn30:synset-incorporate-verb-2 - frame:Containing - frame:Stateframe:Relation
wn30:synset-incorporate-verb-2 - frame:Inclusion
","wn30:synset-Oregon-noun-1
wn30:synset-unit_of_measurement-noun-1
wn30:synset-thing-noun-1
","wn30:synset-physical-adjective-1
wn30:synset-in-adverb-1
"
